,user,timestamp,song_id,genre,song_name,artists,duration_ms
0,Travis Wells,1716387225000,74vx4esXPmbR3TFhqpOtyc,alternative metal,Frgt/10 (Alchemist Reanimation) [feat. Chali 2na],Linkin Park,212293.0
1,Travis Wells,1716429813000,0sp00HSXkQyqTa6QqM0O8V,alternative metal,Leave Out All The Rest,Linkin Park,209307.0
2,Travis Wells,1716486430000,1zN6ynJG4PdR61YWv4PQ3Y,alternative metal,All Around Me,Flyleaf,198507.0
3,Travis Wells,1716501122000,57JVGBtBLCfHw2muk5416J,classic rock,Another One Bites The Dust - Remastered 2011,Queen,214653.0
4,Travis Wells,1716578381000,1VNWaY3uNfoeWqb5U8x2QX,alternative metal,Lonely Day,System Of A Down,167907.0
5,Travis Wells,1716619618000,6O8Fqxnk5OlOivJHklfkPZ,alternative metal,Nobody's Listening,Linkin Park,178867.0
6,Travis Wells,1716637898000,1r1fPuhj9H4VdXr7OK6FL5,alternative metal,CASTLE OF GLASS,Linkin Park,205400.0
7,Travis Wells,1716695629000,11LmqTE2naFULdEP94AUBa,grunge,Heart-Shaped Box,Nirvana,281160.0
8,Travis Wells,1716715271000,2DlHlPMa4M17kufBvI2lEN,alternative metal,Chop Suey!,System Of A Down,210240.0
9,Travis Wells,1716760262000,6n8TMVyFKoUmDc4apxceRD,alternative metal,Breaking the Habit,Linkin Park,196907.0
10,Travis Wells,1716779450000,7oVEtyuv9NBmnytsCIsY5I,alternative metal,BURN IT DOWN,Linkin Park,230253.0
11,Travis Wells,1716809353000,1nFtiJxYdhtFfFtfXBv06s,grunge,Something In The Way,Nirvana,232147.0
12,Travis Wells,1716878343000,1oWnt2RJ2yC8kTkxLHcL1x,alternative metal,P5hng Me A*wy (Mike Shinoda Reanimation) [feat. Stephen Richards],Linkin Park,277973.0
13,Travis Wells,1716893940000,15VRO9CQwMpbqUYA7e6Hwg,grunge,The Man Who Sold The World,Nirvana,261093.0
14,Travis Wells,1716902496000,0gmbgwZ8iqyMPmXefof8Yf,alternative metal,How You Remind Me,Nickelback,223840.0
15,Travis Wells,1716945437000,6SoUUr6i1X0GReHinApeKI,alternative metal,Iridescent,Linkin Park,296560.0
16,Travis Wells,1717002746000,0UFDKFqW2oGspYeYqo9wjA,alternative metal,Bleed It Out,Linkin Park,166373.0
17,Travis Wells,1717057571000,3iuI6EUfAii8fX9RKaVhuC,alternative metal,X-Ecutioner Style (feat. Black Thought),Linkin Park,109493.0
18,Travis Wells,1717105550000,6lSr3iZTC144PKhvbPFzMp,alternative metal,Blurry,Puddle Of Mudd,304000.0
19,Travis Wells,1717166542000,3rjM7GhxdVq1YySsHBs21i,alternative metal,Animals,Nickelback,186600.0
20,Travis Wells,1717233817000,4P5KoWXOxwuobLmHXLMobV,grunge,Come As You Are,Nirvana,218920.0
21,Travis Wells,1717306876000,3zZ009FB8sc8JghwVrbLFq,alternative metal,Rebellion (feat. Daron Malakian),Linkin Park,224160.0
22,Travis Wells,1717365844000,1mnQiO568zXIrUncttTZGp,classic rock,Good Old-Fashioned Lover Boy - Remastered 2011,Queen,173173.0
23,Travis Wells,1717424195000,4Yf5bqU3NK4kNOypcrLYwU,alternative metal,Faint,Linkin Park,162600.0
24,Travis Wells,1717496525000,0wvIGFIgbyz4JNwQhZgTv2,alternative metal,Rooster (2022 Remaster),Alice In Chains,374333.0
25,Travis Wells,1717553469000,4K1imZQQ0yKtJ40vGmUajS,classic rock,Girl from the North Country,Bob Dylan,220400.0
26,Travis Wells,1717553846000,1nFtiJxYdhtFfFtfXBv06s,grunge,Something In The Way,Nirvana,232147.0
27,Travis Wells,1717627077000,1nFtiJxYdhtFfFtfXBv06s,grunge,Something In The Way,Nirvana,232147.0
28,Travis Wells,1717627828000,50xYqUTVCvoqRLuyWFuG3r,alternative metal,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],Linkin Park,243613.0
29,Travis Wells,1717655483000,7oVEtyuv9NBmnytsCIsY5I,alternative metal,BURN IT DOWN,Linkin Park,230253.0
30,Travis Wells,1717673402000,3yE7LC2ZyNWsLRSXHb0J06,alternative metal,Figure.09,Linkin Park,197507.0
31,Travis Wells,1717758723000,50xYqUTVCvoqRLuyWFuG3r,alternative metal,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],Linkin Park,243613.0
32,Travis Wells,1717761117000,4XQCxOjh4iFofXqTFStUKx,alternative metal,[Stef],Linkin Park,10027.0
33,Travis Wells,1717794679000,6SoUUr6i1X0GReHinApeKI,alternative metal,Iridescent,Linkin Park,296560.0
